2019/01/01;19:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Worse Than Expected             ;% ;1.6;2.90;evised From 3.0
2019/05/23;13:00:00;Brazil                          ;Low Volatility Expected         ;Federal Tax Revenue                                                                                             ;Better Than Expected            ;B  ;139.03;138;109.85
2019/05/23;18:45:00;New Zealand                     ;Low Volatility Expected         ;Exports                                                                                                         ;Better Than Expected            ;B  ;5.55;5.35;"evised From 5.70B>5.60                            """
2019/05/23;18:45:00;New Zealand                     ;Low Volatility Expected         ;Imports                                                                                                         ;Better Than Expected            ;B  ;5.11;4.9;"evised From 4.77B>4.78                            """
2019/05/23;18:45:00;New Zealand                     ;Moderate Volatility Expected    ;Trade Balance                                                                                                   ;Worse Than Expected             ;M  ;-5.48;-5.465;"evised From -5.620M>-5.710                        """
2019/05/23;18:45:00;New Zealand                     ;Moderate Volatility Expected    ;Trade Balance                                                                                                   ;Better Than Expected            ;M  ;433.00;400;"evised From 922M>824                              """
2019/05/23;19:30:00;Japan                           ;Moderate Volatility Expected    ;National Core CPI                                                                                               ;In Line with Expectation        ;% ;0.90;0.9;0.8
2019/05/23;19:30:00;Japan                           ;Moderate Volatility Expected    ;National CPI                                                                                                    ;;% ;0.10;;0
2019/05/23;19:30:00;Japan                           ;Low Volatility Expected         ;National CPI                                                                                                    ;In Line with Expectation        ;% ;0.90;0.9;0.5
2019/05/23;20:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Better Than Expected            ;% ;3.80;2;2
2019/05/24;0:30:00;Japan                           ;Low Volatility Expected         ;All Industries Activity Index                                                                                   ;Worse Than Expected             ;% ;-0.40;-0.2;-0.2
2019/05/24;1:00:00;Singapore                       ;Low Volatility Expected         ;Industrial Production                                                                                           ;Better Than Expected            ;% ;2.40;-1.3;evised From -2.6
2019/05/24;1:00:00;Singapore                       ;Low Volatility Expected         ;Industrial Production                                                                                           ;Better Than Expected            ;% ;0.10;-3.5;evised From -4.8
2019/05/24;3:00:00;Spain                           ;Low Volatility Expected         ;Spanish PPI                                                                                                     ;;% ;2.30;;2.4
2019/05/24;4:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Core Retail Sales                                                                                               ;Better Than Expected            ;% ;4.90;4.2;evised From 6.2
2019/05/24;4:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Core Retail Sales                                                                                               ;Better Than Expected            ;% ;-0.20;-0.5;evised From 1.2
2019/05/24;4:30:00;United Kingdom                  ;High Volatility Expected        ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;0.00;-0.3;evised From 1.1
2019/05/24;4:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;5.20;4.6;6.7
2019/05/24;4:30:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Nowotny Speaks                                                                                        ";;;;;
2019/05/24;5:15:00;United Kingdom                  ;Moderate Volatility Expected    ;BoE Deputy Governor Woods Speaks                                                                                ;;;;;
2019/05/24;6:00:00;United Kingdom                  ;Low Volatility Expected         ;CBI Distributive Trades Survey                                                                                  ;Worse Than Expected             ;;-27.00;8;13
2019/05/24;6:00:00;Euro Zone                       ;Moderate Volatility Expected    ;European Parliament Elections                                                                                   ;;;;;
2019/05/24;7:30:00;India                           ;Low Volatility Expected         ;Bank Loan Growth                                                                                                ;;% ;13.00;;13
2019/05/24;7:30:00;India                           ;Low Volatility Expected         ;Deposit Growth                                                                                                  ;;% ;10.40;;9.7
2019/05/24;7:30:00;India                           ;Low Volatility Expected         ;FX Reserves. USD                                                                                                ;;B  ;418.00;;420.06
2019/05/24;8:00:00;Brazil                          ;Low Volatility Expected         ;Mid-Month CPI                                                                                                   ;Worse Than Expected             ;% ;4.93;4.98;4.71
2019/05/24;8:00:00;Brazil                          ;Low Volatility Expected         ;Mid-Month CPI                                                                                                   ;Worse Than Expected             ;% ;0.35;0.42;0.72
2019/05/24;8:30:00;United States                   ;Moderate Volatility Expected    ;Cap Goods Ship Non Defense Ex Air                                                                               ;In Line with Expectation        ;% ;0.00;0.4;evised From 0.0
2019/05/24;8:30:00;United States                   ;High Volatility Expected        ;Core Durable Goods Orders                                                                                       ;Worse Than Expected             ;% ;0.00;0.2;evised From 0.2
2019/05/24;8:30:00;United States                   ;Moderate Volatility Expected    ;Durable Goods Orders                                                                                            ;Worse Than Expected             ;% ;-2.10;-2;evised From 2.8
2019/05/24;8:30:00;United States                   ;Low Volatility Expected         ;Durables Excluding Defense                                                                                      ;Worse Than Expected             ;% ;-2.50;-2;evised From 1.3
2019/05/24;8:30:00;United States                   ;Low Volatility Expected         ;Goods Orders Non Defense Ex Air                                                                                 ;Worse Than Expected             ;% ;-0.90;-0.3;evised From 1.0
2019/05/24;8:30:00;Canada                          ;Low Volatility Expected         ;Corporate Profits                                                                                               ;;% ;-0.30;;-3.9
2019/05/24;9:00:00;Russia                          ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Worse Than Expected             ;% ;1.20;1.3;1.6
2019/05/24;9:00:00;Russia                          ;Moderate Volatility Expected    ;Unemployment Rate                                                                                               ;In Line with Expectation        ;% ;4.70;4.7;4.7
2019/05/24;9:40:00;Russia                          ;Moderate Volatility Expected    ;GDP Monthly                                                                                                     ;In Line with Expectation        ;% ;1.60;1;evised From 0.2
2019/05/24;13:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Oil Rig Count                                                                                 ;;;797.00;;802
2019/05/24;13:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Total Rig Count                                                                               ;;;983.00;;987
2019/05/24;13:15:00;Brazil                          ;Moderate Volatility Expected    ;CAGED Net Payroll Jobs                                                                                          ;Better Than Expected            ;K  ;129.60;80;-43.2
2019/05/24;15:30:00;United Kingdom                  ;Moderate Volatility Expected    ;CFTC GBP speculative net positions                                                                              ;;K  ;-26.20;;-3.3
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Aluminium speculative net positions                                                                        ;;K  ;-101.10;;-95.3
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Copper speculative net positions                                                                           ;;K  ;-21.70;;-19.4
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Corn speculative net positions                                                                             ;;K  ;3.20;;-183.9
2019/05/24;15:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Crude Oil speculative net positions                                                                        ;;K  ;478.40;;487.8
2019/05/24;15:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Gold speculative net positions                                                                             ;;K  ;88.80;;124.5
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Natural Gas speculative net positions                                                                      ;;K  ;-61.00;;-73.9
2019/05/24;15:30:00;United States                   ;Moderate Volatility Expected    ;"CFTC S&amp;P 500 speculative net positions                                                                      ";;K  ;100.80;;93.9
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Silver speculative net positions                                                                           ;;K  ;-14.70;;-2.2
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Soybeans speculative net positions                                                                         ;;K  ;-99.90;;-123.4
2019/05/24;15:30:00;United States                   ;Low Volatility Expected         ;CFTC Wheat speculative net positions                                                                            ;;K  ;-16.10;;-43.4
2019/05/24;15:30:00;Canada                          ;Low Volatility Expected         ;CFTC CAD speculative net positions                                                                              ;;K  ;-42.20;;-47.6
2019/05/24;15:30:00;Switzerland                     ;Low Volatility Expected         ;CFTC CHF speculative net positions                                                                              ;;K  ;-37.50;;-40
2019/05/24;15:30:00;Australia                       ;Moderate Volatility Expected    ;CFTC AUD speculative net positions                                                                              ;;K  ;-66.10;;-64
2019/05/24;15:30:00;Brazil                          ;Moderate Volatility Expected    ;CFTC BRL speculative net positions                                                                              ;;K  ;-25.90;;-25.9
2019/05/24;15:30:00;Japan                           ;Moderate Volatility Expected    ;CFTC JPY speculative net positions                                                                              ;;K  ;-55.20;;-61.6
2019/05/24;15:30:00;New Zealand                     ;Low Volatility Expected         ;CFTC NZD speculative net positions                                                                              ;;K  ;-10.90;;-11.4
2019/05/24;15:30:00;Russia                          ;Moderate Volatility Expected    ;CFTC RUB speculative positions                                                                                  ;;K  ;36.20;;35.8
2019/05/24;15:30:00;Euro Zone                       ;Moderate Volatility Expected    ;CFTC EUR speculative net positions                                                                              ;;K  ;-101.10;;-95.3
2019/05/25;5:00:00;Euro Zone                       ;Moderate Volatility Expected    ;European Parliament Elections                                                                                   ;;;;;
2019/05/26;6:00:00;Euro Zone                       ;Moderate Volatility Expected    ;European Parliament Elections                                                                                   ;;;;;
2019/05/26;7:45:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Lautenschlaeger Speaks                                                                                ";;;;;
2019/05/26;23:00:00;Japan                           ;Moderate Volatility Expected    ;BoJ Governor Kuroda Speaks                                                                                      ;;;;;
2019/05/27;1:00:00;Japan                           ;Low Volatility Expected         ;Leading Index                                                                                                   ;Worse Than Expected             ;;95.90;96.3;"evised From 96.3>97.1                             """
2019/05/27;1:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Investing.com GBP/USD Index                                                                                     ;;% ;52.80;;60.3
2019/05/27;1:30:00;United States                   ;Moderate Volatility Expected    ;Investing.com Gold Index                                                                                        ;;% ;62.10;;77.6
2019/05/27;1:30:00;United States                   ;Moderate Volatility Expected    ;"Investing.com S&amp;P 500 Index                                                                                 ";;% ;57.80;;53.7
2019/05/27;1:30:00;Canada                          ;Moderate Volatility Expected    ;Investing.com USD/CAD Index                                                                                     ;;% ;47.80;;57.6
2019/05/27;1:30:00;Switzerland                     ;Moderate Volatility Expected    ;Investing.com USD/CHF Index                                                                                     ;;% ;57.60;;55.1
2019/05/27;1:30:00;Australia                       ;Moderate Volatility Expected    ;Investing.com AUD/USD Index                                                                                     ;;% ;50.40;;44.6
2019/05/27;1:30:00;Japan                           ;Moderate Volatility Expected    ;Investing.com USD/JPY Index                                                                                     ;;% ;65.80;;61.1
2019/05/27;1:30:00;New Zealand                     ;Moderate Volatility Expected    ;Investing.com NZD/USD Index                                                                                     ;;% ;60.40;;56.1
2019/05/27;1:30:00;Euro Zone                       ;Moderate Volatility Expected    ;Investing.com EUR/USD Index                                                                                     ;;% ;40.30;;50.7
2019/05/27;2:30:00;Switzerland                     ;Moderate Volatility Expected    ;Employment Level                                                                                                ;;M  ;5.07;;5.068
2019/05/27;4:30:00;Hong Kong                       ;Low Volatility Expected         ;Exports                                                                                                         ;;% ;-2.60;;-1.2
2019/05/27;4:30:00;Hong Kong                       ;Low Volatility Expected         ;Imports                                                                                                         ;;% ;-5.50;;-0.1
2019/05/27;4:30:00;Hong Kong                       ;Low Volatility Expected         ;Trade Balance                                                                                                   ;;B  ;-35.10;;-59.3
2019/05/27;4:40:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Coeure Speaks                                                                                         ";;;;;
2019/05/27;6:00:00;France                          ;Moderate Volatility Expected    ;France Jobseekers Total                                                                                         ;;K  ;3372.90;;3.382.6                                            
2019/05/27;7:30:00;Brazil                          ;Moderate Volatility Expected    ;BCB Focus Market Readout                                                                                        ;;;;;
2019/05/27;9:00:00;France                          ;Low Volatility Expected         ;French 12-Month BTF Auction                                                                                     ;;% ;-0.55;;-0.555
2019/05/27;9:00:00;France                          ;Low Volatility Expected         ;French 3-Month BTF Auction                                                                                      ;;% ;-0.54;;-0.55
2019/05/27;9:00:00;France                          ;Low Volatility Expected         ;French 6-Month BTF Auction                                                                                      ;;% ;-0.55;;-0.562
2019/05/27;9:30:00;Brazil                          ;Low Volatility Expected         ;Current Account (USD)                                                                                           ;Worse Than Expected             ;B  ;-0.06;0.09;-0.49
2019/05/27;9:30:00;Brazil                          ;Low Volatility Expected         ;Foreign direct investment (USD)                                                                                 ;;B  ;6.96;;6.8
2019/05/27;17:00:00;South Korea                     ;Low Volatility Expected         ;Consumer Confidence                                                                                             ;Worse Than Expected             ;;97.90;103;101.6
2019/05/27;19:50:00;Japan                           ;Low Volatility Expected         ;Corporate Services Price Index (CSPI)                                                                           ;Worse Than Expected             ;% ;0.90;1.2;1.1
2019/05/28;1:00:00;Japan                           ;Low Volatility Expected         ;BoJ Core CPI                                                                                                    ;;% ;0.70;;0.5
2019/05/28;1:45:00;Switzerland                     ;Moderate Volatility Expected    ;GDP                                                                                                             ;Better Than Expected            ;% ;1.70;1;evised From 1.4
2019/05/28;1:45:00;Switzerland                     ;Moderate Volatility Expected    ;GDP                                                                                                             ;Better Than Expected            ;% ;0.60;0.3;evised From 0.2
2019/05/28;2:00:00;Switzerland                     ;Low Volatility Expected         ;Trade Balance                                                                                                   ;Worse Than Expected             ;B  ;2.29;2.98;"evised From 3.179B>3.247                          """
2019/05/28;2:00:00;Germany                         ;Low Volatility Expected         ;German Import Price Index                                                                                       ;Worse Than Expected             ;% ;0.30;0.5;0
2019/05/28;2:00:00;Germany                         ;Low Volatility Expected         ;German Import Price Index                                                                                       ;Worse Than Expected             ;% ;1.40;1.6;1.7
2019/05/28;2:00:00;Germany                         ;Moderate Volatility Expected    ;GfK German Consumer Climate                                                                                     ;Worse Than Expected             ;;10.10;10.4;"evised From 10.4>10.2                             """
2019/05/28;2:45:00;France                          ;Low Volatility Expected         ;French Consumer Confidence                                                                                      ;Better Than Expected            ;;99.00;97;96
2019/05/28;4:00:00;Italy                           ;Low Volatility Expected         ;Italian Trade Balance Non-EU                                                                                    ;;B  ;1.89;;3.42
2019/05/28;4:00:00;Euro Zone                       ;Low Volatility Expected         ;M3 Money Supply                                                                                                 ;Better Than Expected            ;% ;4.70;4.4;4.5
2019/05/28;4:00:00;Euro Zone                       ;Low Volatility Expected         ;Private Sector Loans                                                                                            ;Better Than Expected            ;% ;3.40;3.3;evised From 3.2
2019/05/28;4:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Gross Mortgage Approvals                                                                                        ;Better Than Expected            ;K  ;43.00;39.3;"evised From 40.0K>40.6                            """
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Business and Consumer Survey                                                                                    ;Better Than Expected            ;;105.10;104;"evised From 104.0>103.9                           """
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Business Climate                                                                                                ;Worse Than Expected             ;;0.30;0.4;0.42
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Consumer Confidence                                                                                             ;In Line with Expectation        ;;-6.50;-6.5;"evised From -6.5>-7.3                             """
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Consumer Inflation Expectation                                                                                  ;;;23.20;;"evised From 15.7>19.3                             """
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Selling Price Expectations                                                                                      ;;;5.30;;5.2
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Services Sentiment                                                                                              ;Better Than Expected            ;;12.20;11;"evised From 11.5>11.8                             """
2019/05/28;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Industrial Sentiment                                                                                            ;Better Than Expected            ;;-2.90;-4.3;"evised From -4.1>-4.3                             """
2019/05/28;5:40:00;Germany                         ;Low Volatility Expected         ;German 2-Year Schatz Auction                                                                                    ;;% ;-0.65;;-0.58
2019/05/28;9:00:00;United States                   ;Low Volatility Expected         ;House Price Index                                                                                               ;Worse Than Expected             ;% ;0.10;0.2;evised From 0.3
2019/05/28;9:00:00;United States                   ;Low Volatility Expected         ;House Price Index                                                                                               ;;% ;4.90;;evised From 4.9
2019/05/28;9:00:00;United States                   ;Low Volatility Expected         ;House Price Index                                                                                               ;;;273.40;;"evised From 272.8>273.1                           """
2019/05/28;9:00:00;United States                   ;Low Volatility Expected         ;"S&amp;P/CS HPI Composite - 20 s.a.                                                                              ";Worse Than Expected             ;% ;0.10;0.2;evised From 0.2
2019/05/28;9:00:00;United States                   ;Moderate Volatility Expected    ;"S&amp;P/CS HPI Composite - 20 n.s.a.                                                                            ";Worse Than Expected             ;% ;2.70;3.1;3
2019/05/28;9:00:00;United States                   ;Low Volatility Expected         ;"S&amp;P/CS HPI Composite - 20 n.s.a.                                                                            ";;% ;0.70;;0.2
2019/05/28;10:00:00;United States                   ;High Volatility Expected        ;CB Consumer Confidence                                                                                          ;Better Than Expected            ;;134.10;130.1;129.2
2019/05/28;10:30:00;United States                   ;Low Volatility Expected         ;Dallas Fed Mfg Business Index                                                                                   ;Worse Than Expected             ;;-5.30;5.8;2
2019/05/28;11:30:00;United States                   ;Low Volatility Expected         ;2-Year Note Auction                                                                                             ;;% ;2.13;;2.355
2019/05/28;11:30:00;United States                   ;Low Volatility Expected         ;6-Month Bill Auction                                                                                            ;;% ;2.32;;2.34
2019/05/28;11:30:00;Spain                           ;Low Volatility Expected         ;Spanish Business Confidence                                                                                     ;;;-3.30;;"evised From -3.8>-3.7                             """
2019/05/28;13:00:00;United States                   ;Low Volatility Expected         ;3-Month Bill Auction                                                                                            ;;% ;2.31;;2.335
2019/05/28;13:00:00;United States                   ;Low Volatility Expected         ;5-Year Note Auction                                                                                             ;;% ;2.07;;2.315
2019/05/28;17:00:00;South Korea                     ;Low Volatility Expected         ;Manufacturing BSI Index                                                                                         ;;;72.00;;73
2019/05/28;17:00:00;New Zealand                     ;Moderate Volatility Expected    ;RBNZ Financial Stability Report                                                                                 ;;;;;
2019/05/28;18:00:00;United States                   ;Moderate Volatility Expected    ;Treasury Department Report                                                                                      ;;;;;
2019/05/28;19:00:00;New Zealand                     ;High Volatility Expected        ;RBNZ Gov Orr Speaks                                                                                             ;;;;;
2019/05/28;19:01:00;United Kingdom                  ;Low Volatility Expected         ;BRC Shop Price Index                                                                                            ;;% ;0.80;;0.4
2019/05/28;20:00:00;Japan                           ;Moderate Volatility Expected    ;BoJ Governor Kuroda Speaks                                                                                      ;;;;;
2019/05/28;21:00:00;New Zealand                     ;Moderate Volatility Expected    ;ANZ Business Confidence                                                                                         ;Better Than Expected            ;;-32.00;-42.7;-37.5
2019/05/28;21:00:00;New Zealand                     ;Low Volatility Expected         ;NBNZ Own Activity                                                                                               ;;% ;8.50;;7.1
2019/05/28;21:10:00;New Zealand                     ;High Volatility Expected        ;RBNZ Gov Orr Speaks                                                                                             ;;;;;
2019/05/29;2:45:00;France                          ;Moderate Volatility Expected    ;French Consumer Spending                                                                                        ;Better Than Expected            ;% ;0.80;0.5;evised From -0.1
2019/05/29;2:45:00;France                          ;Moderate Volatility Expected    ;French CPI                                                                                                      ;Worse Than Expected             ;% ;0.20;0.3;0.3
2019/05/29;2:45:00;France                          ;Low Volatility Expected         ;French CPI                                                                                                      ;;% ;1.00;;1.3
2019/05/29;2:45:00;France                          ;Moderate Volatility Expected    ;French GDP                                                                                                      ;In Line with Expectation        ;% ;0.30;0.3;0.3
2019/05/29;2:45:00;France                          ;Moderate Volatility Expected    ;French GDP                                                                                                      ;;% ;1.20;;1.1
2019/05/29;2:45:00;France                          ;Low Volatility Expected         ;French HICP                                                                                                     ;Worse Than Expected             ;% ;1.10;1.2;1.5
2019/05/29;2:45:00;France                          ;Moderate Volatility Expected    ;French HICP                                                                                                     ;;% ;0.20;;0.4
2019/05/29;2:45:00;France                          ;Low Volatility Expected         ;French PPI                                                                                                      ;;% ;-0.60;;0
2019/05/29;3:00:00;Switzerland                     ;Moderate Volatility Expected    ;KOF Leading Indicators                                                                                          ;Worse Than Expected             ;;94.40;96.4;96.2
2019/05/29;3:00:00;Germany                         ;Moderate Volatility Expected    ;German Buba President Weidmann Speaks                                                                           ;;;;;
2019/05/29;3:30:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Mersch Speaks                                                                                         ";;;;;
2019/05/29;3:55:00;Germany                         ;High Volatility Expected        ;German Unemployment Change                                                                                      ;Worse Than Expected             ;K  ;60.00;-8;-12
2019/05/29;3:55:00;Germany                         ;Moderate Volatility Expected    ;German Unemployment Rate                                                                                        ;Worse Than Expected             ;% ;5.00;4.9;4.9
2019/05/29;3:55:00;Germany                         ;Low Volatility Expected         ;German Unemployment                                                                                             ;;M  ;2.28;;2.22
2019/05/29;3:55:00;Germany                         ;Low Volatility Expected         ;German Unemployment n.s.a.                                                                                      ;;M  ;2.24;;2.229
2019/05/29;4:00:00;Italy                           ;Low Volatility Expected         ;Italian Business Confidence                                                                                     ;Better Than Expected            ;;102.00;100.4;"evised From 100.6>100.8                           """
2019/05/29;4:00:00;Italy                           ;Low Volatility Expected         ;Italian Consumer Confidence                                                                                     ;Better Than Expected            ;;111.80;110;"evised From 110.5>110.6                           """
2019/05/29;4:00:00;Switzerland                     ;Low Volatility Expected         ;ZEW Expectations                                                                                                ;;;-14.30;;-7.7
2019/05/29;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;ECB Financial Stability Review                                                                                  ;;;;;
2019/05/29;5:40:00;Germany                         ;Low Volatility Expected         ;German 5-Year Bobl Auction                                                                                      ;;% ;-0.56;;-0.46
2019/05/29;5:45:00;Italy                           ;Low Volatility Expected         ;Italian 6-Month BOT Auction                                                                                     ;;% ;-0.05;;-0.028
2019/05/29;7:00:00;United States                   ;Low Volatility Expected         ;MBA 30-Year Mortgage Rate                                                                                       ;;% ;4.33;;4.33
2019/05/29;7:00:00;United States                   ;Low Volatility Expected         ;MBA Mortgage Applications                                                                                       ;;% ;-3.30;;2.4
2019/05/29;7:00:00;United States                   ;Low Volatility Expected         ;MBA Purchase Index                                                                                              ;;;259.40;;263
2019/05/29;7:00:00;United States                   ;Low Volatility Expected         ;Mortgage Market Index                                                                                           ;;;411.50;;425.6
2019/05/29;7:00:00;United States                   ;Low Volatility Expected         ;Mortgage Refinance Index                                                                                        ;;;1255.40;;1.334.9                                            
2019/05/29;8:55:00;United States                   ;Low Volatility Expected         ;Redbook                                                                                                         ;;% ;1.30;;1.2
2019/05/29;8:55:00;United States                   ;Low Volatility Expected         ;Redbook                                                                                                         ;;% ;5.70;;5.2
2019/05/29;10:00:00;United States                   ;Low Volatility Expected         ;Richmond Manufacturing Index                                                                                    ;Worse Than Expected             ;;5.00;6;3
2019/05/29;10:00:00;United States                   ;Low Volatility Expected         ;Richmond Manufacturing Shipments                                                                                ;;;2.00;;-2
2019/05/29;10:00:00;United States                   ;Low Volatility Expected         ;Richmond Services Index                                                                                         ;;;1.00;;26
2019/05/29;10:00:00;Canada                          ;Moderate Volatility Expected    ;BoC Rate Statement                                                                                              ;;;;;
2019/05/29;10:00:00;Canada                          ;High Volatility Expected        ;BoC Interest Rate Decision                                                                                      ;In Line with Expectation        ;% ;1.75;1.75;1.75
2019/05/29;10:30:00;United States                   ;Low Volatility Expected         ;Dallas Fed Services Revenues                                                                                    ;;;2.70;;13.9
2019/05/29;10:30:00;United States                   ;Low Volatility Expected         ;Texas Services Sector Outlook                                                                                   ;;;-0.30;;5.7
2019/05/29;10:30:00;Brazil                          ;Low Volatility Expected         ;Bank lending                                                                                                    ;;% ;0.00;;0.7
2019/05/29;11:30:00;Brazil                          ;Low Volatility Expected         ;Foreign Exchange Flows                                                                                          ;;B  ;1.61;;1.796
2019/05/29;13:00:00;United States                   ;Low Volatility Expected         ;7-Year Note Auction                                                                                             ;;% ;2.14;;2.426
2019/05/29;18:45:00;New Zealand                     ;Moderate Volatility Expected    ;Building Consents                                                                                               ;Worse Than Expected             ;% ;-7.90;1.3;evised From -6.9
2019/05/29;19:50:00;Japan                           ;Low Volatility Expected         ;Foreign Bonds Buying                                                                                            ;;B  ;-189.00;;"evised From 1.169.5B>1.359.0                      """
2019/05/29;19:50:00;Japan                           ;Low Volatility Expected         ;Foreign Investments in Japanese Stocks                                                                          ;;B  ;-128.20;;"evised From 1.427.4B>-57.3                        """
2019/05/29;21:00:00;Australia                       ;Moderate Volatility Expected    ;HIA New Home Sales                                                                                              ;;% ;-11.80;;-0.1
2019/05/29;21:30:00;Australia                       ;Moderate Volatility Expected    ;Building Approvals                                                                                              ;Worse Than Expected             ;% ;-4.70;0.1;evised From -15.5
2019/05/29;21:30:00;Australia                       ;Low Volatility Expected         ;Building Capital Expenditure                                                                                    ;;% ;-2.80;;evised From 3.2
2019/05/29;21:30:00;Australia                       ;Low Volatility Expected         ;Plant/Machinery Capital Expenditure                                                                             ;;% ;-0.50;;0.7
2019/05/29;21:30:00;Australia                       ;Low Volatility Expected         ;Private House Approvals                                                                                         ;;% ;-2.60;;evised From -3.2
2019/05/29;21:30:00;Australia                       ;Moderate Volatility Expected    ;Private New Capital Expenditure                                                                                 ;Worse Than Expected             ;% ;-1.70;0.5;evised From 2.0
2019/05/29;22:00:00;New Zealand                     ;High Volatility Expected        ;Annual Budget Release                                                                                           ;;;;;
2019/05/29;22:00:00;New Zealand                     ;Low Volatility Expected         ;Budget Balance                                                                                                  ;;B  ;-2.79;;"evised From -4.993B>-5.000                        """
2019/05/29;22:00:00;New Zealand                     ;Low Volatility Expected         ;Net Debt Forecast                                                                                               ;;% ;20.10;;20.9
2019/05/29;22:00:00;New Zealand                     ;Low Volatility Expected         ;Economic Forecast                                                                                               ;;B  ;3.47;;1.724
2019/05/30;3:00:00;Spain                           ;Low Volatility Expected         ;Spanish CPI                                                                                                     ;;% ;0.20;;1
2019/05/30;3:00:00;Spain                           ;Moderate Volatility Expected    ;Spanish CPI                                                                                                     ;Worse Than Expected             ;% ;0.80;1.2;1.5
2019/05/30;3:00:00;Spain                           ;Moderate Volatility Expected    ;Spanish HICP                                                                                                    ;Worse Than Expected             ;% ;0.90;1.1;1.6
2019/05/30;3:00:00;Spain                           ;Low Volatility Expected         ;Spanish HICP                                                                                                    ;Worse Than Expected             ;% ;0.20;0.4;1.1
2019/05/30;3:00:00;Spain                           ;Low Volatility Expected         ;Spanish Retail Sales                                                                                            ;;% ;1.10;;evised From 1.7
2019/05/30;3:30:00;United Kingdom                  ;Moderate Volatility Expected    ;MPC Member Ramsden Speaks                                                                                       ;;;;;
2019/05/30;5:30:00;South Africa                    ;Low Volatility Expected         ;PPI                                                                                                             ;Better Than Expected            ;% ;6.50;5.9;6.2
2019/05/30;5:30:00;South Africa                    ;Low Volatility Expected         ;PPI                                                                                                             ;Better Than Expected            ;% ;1.30;0.8;1.3
2019/05/30;5:45:00;Italy                           ;Moderate Volatility Expected    ;Italian 10-Year BTP Auction                                                                                     ;;% ;2.60;;2.59
2019/05/30;6:45:00;Italy                           ;Low Volatility Expected         ;Italian 5-Year BTP Auction                                                                                      ;;% ;1.81;;1.72
2019/05/30;7:00:00;Brazil                          ;Low Volatility Expected         ;IGP-M Inflation Index                                                                                           ;Worse Than Expected             ;% ;0.45;0.54;0.92
2019/05/30;8:00:00;Brazil                          ;Moderate Volatility Expected    ;GDP                                                                                                             ;In Line with Expectation        ;% ;0.50;0.5;1.1
2019/05/30;8:00:00;Brazil                          ;Moderate Volatility Expected    ;GDP                                                                                                             ;In Line with Expectation        ;% ;-0.20;-0.2;0.1
2019/05/30;8:30:00;United States                   ;Low Volatility Expected         ;Continuing Jobless Claims                                                                                       ;Better Than Expected            ;K  ;1.66;1.662;"evised From 1.683K>1.664                          """
